lastname	firstname	cp_name	tags	pseudonyms
Atget	Eugène	Eugène Atget	photography, surrealism, monochromatic, architecture, dark	
Atroshenko	Andrew	Andrew Atroshenko	portrait, impressionism, figurativism	
Audubon	John James	John James Audubon	birds, realism, watercolor	
Auerbach	Frank	Frank Auerbach	dark, expressionism	
Ault	George	George Ault	surrealism, dark, angular, high contrast	
Avercamp	Hendrick	Hendrick Avercamp	landscape, scene	
Averin	Alexandr	Alexandr Averin	scene, impressionism	
Avery	Milton	Milton Avery	low contrast, abstract	
Avery	Tex	Tex Avery	whimsical, storybook realism	
Azzopardi	Deborah	Deborah Azzopardi	pop art, cartoon, vibrant	
Baade	Carrie Ann	Carrie Ann Baade	detailed, surrealism, pop art	
Baars	Ingrid	Ingrid Baars	high contrast, photography, dark, portrait, monochromatic	
Bachalo	Chris	Chris Bachalo	comics, high contrast	
Bachelier	Anne	Anne Bachelier	portrait, surrealism	
Backer	Harriet	Harriet Backer	scene, impressionism	
Bacon	Francis	Francis Bacon	expressionism,	
Baes	Firmin	Firmin Baes	impressionism, portrait, still life, landscape	
Bagge	Peter	Peter Bagge	comics, whimsical, high contrast	
Bagshaw	Tom	Tom Bagshaw	character, dark, fantasy, scene	
Baheux	Laurent	Laurent Baheux	photography, monochromatic, high contrast, nature, animals, landscape	
Bailey	David	David Bailey	photography,	
Bailly	Alice	Alice Bailly	cubism, high contrast, fauvism	
Bak	Karol	Karol Bak	character, vibrant	
Bakshi	Ralph	Ralph Bakshi	cartoon	Giorgio Barbarelli da Castelfranco
Bakst	Léon	Léon Bakst	romanticism, art nouveau	
Balaskas	Christopher	Christopher Balaskas	vibrant, digital, landscape, sci-fi, space	
Baldridge	Jamie	Jamie Baldridge	photography, dark	
Baldung	Hans	Hans Baldung	renaissance,	
Balfour	Ronald	Ronald Balfour	art deco, art nouveau, watercolor	
Balivet	Emily	Emily Balivet	detailed, art nouveau, colorful	
Balke	Peder	Peder Balke	landscape, seascape, cloudscape	
Balla	Giacomo	Giacomo Balla	cubism, abstract	
Balthus Balthus	scene, dark, watercolor	
Baluschek	Hans	Hans Baluschek	dark, cityscape, realism	
Bana	Benedick	Benedick Bana	character, sci-fi, messy, monochromatic, 3d	
Banksy Banksy	street art, graffiti, high contrast	
Barbarelli da Castelfranco	Giorgio	Giorgio Barbarelli da Castelfranco	scene, portrait, renaissance	
Barbey	Thomas	Thomas Barbey	photography, monochromatic, surrealism	
Barbier	George	George Barbier	art deco, art nouveau	
Barker	Cicely Mary	Cicely Mary Barker	fantasy, whimsical, character	
Barker	Clive	Clive Barker	expressionism, pop art, abstract	
Barks	Carl	Carl Barks	cartoon,	
Barlach	Ernst	Ernst Barlach	realism, expressionism, monochromatic, art nouveau	
Barlow	Phyllida	Phyllida Barlow	sculpture, installation, expressionism	
Barlowe	Wayne	Wayne Barlowe	sci-fi, fantasy, dark,	
Barnes	Ernie	Ernie Barnes	melanin, scene, expressionism	
Barnet	Will	Will Barnet	high contrast, scene	
Barney	Matthew	Matthew Barney	photography, surrealism, sculpture	
Barns-Graham	Wilhelmina	Wilhelmina Barns-Graham	abstract	
Barrett	Angela	Angela Barrett	children's illustration, scene	
Barry	Lynda	Lynda Barry	cartoon, messy	
Barson	Paul	Paul Barson	dark, photography	
Bartlett	Bo	Bo Bartlett	realism, scene, clean	
Basch	Peter	Peter Basch	photography, monochromatic, figurativism	
Baselitz	Georg	Georg Baselitz	messy, expressionism, figurativism	
Baseman	Gary	Gary Baseman	pop art, surrealism, cartoon	
Basquiat	Jean-Michel	Jean-Michel Basquiat	expressionism, messy	
Bassano	Jacopo	Jacopo Bassano	renaissance, scene	
Basse	Willem	Willem Basse	romanticism	
Bassman	Lillian	Lillian Bassman	photography, monochromatic, fashion, portrait, character	
Bastien-Lepage	Jules	Jules Bastien-Lepage	realism, impressionism	
Bateman	Robert	Robert Bateman	animals, nature, realism	
Bates	David	David Bates	high contrast, landscape	
Batho	John	John Batho	photography, abstract, monochromatic, high contrast	
Batoni	Pompeo	Pompeo Batoni	baroque, portrait, scene	
Bauer	John	John Bauer	whimsical, watercolor,	
Baugh	Casey	Casey Baugh	portrait, expressionism, realism	
Baumann	Gustave	Gustave Baumann	realism, landscape, nature	
Baumeister	Willi	Willi Baumeister	abstract	
Bawden	Edward	Edward Bawden	watercolor, landscape, cityscape	
Bayer	Herbert	Herbert Bayer	graphic design, colorful, vibrant, bauhaus	
Bazille	Frederic	Frederic Bazille	impressionism, scene, still life	
Beal	Gifford	Gifford Beal	impressionism	
Beale	Mary	Mary Beale	portrait, realism, baroque	
Bean	Alan	Alan Bean	space, personality, sci-fi	
Bearden	Romare	Romare Bearden	realism, cubism, vibrant, expressionism, melanin	
Beardsley	Aubrey	Aubrey Beardsley	high contrast, art nouveau	
Beaton	Cecil	Cecil Beaton	photography, portrait, monochromatic, fashion	
Beaton	Kate	Kate Beaton	comics, cartoon	
Beauvarlet	Jacques-Firmin	Jacques-Firmin Beauvarlet	romanticism	
Beaux	Cecilia	Cecilia Beaux	impressionism, portrait	
Bechdel	Alison	Alison Bechdel	comics, cartoon	
Becket-Griffith	Jasmine	Jasmine Becket-Griffith	fantasy, portrait, whimsical, vibrant	
Beckmann	Max	Max Beckmann	high contrast, expressionism	
Beecroft	Vanessa	Vanessa Beecroft	nudity, character, portrait, photography	
Beksiński	Zdzisław	Zdzisław Beksiński	surrealism, dark, horror,	
Bell	Julie	Julie Bell	fantasy, nature, dragons	
Bell	Vanessa	Vanessa Bell	fauvism, portrait	
Bellmer	Hans	Hans Bellmer	photography, dark, surrealism	
Bellotto	Bernardo	Bernardo Bellotto	landscape, cityscape, architecture	
Bellows	George	George Bellows	realism, impressionism	
Benglis	Lynda	Lynda Benglis	sculpture, installation, colorful, abstract	
Benjamin-Constant	Jean-Joseph	Jean-Joseph Benjamin-Constant	romanticism, scene, character	
Benois	Albert	Albert Benois	landscape, watercolor, romanticism	
Benois	Alexandre	Alexandre Benois	scene, landscape, watercolor	
Benson	Ambrosius	Ambrosius Benson	renaissance, portrait, scene	
Benson	Frank Weston	Frank Weston Benson	impressionism, scene	
Benton	Thomas Hart	Thomas Hart Benton	realism, scene	
Berenstain	Stan	Stan Berenstain	children's illustration, cartoon	
Bergh	Richard	Richard Bergh	landscape, portrait, romanticism	
Bergland	Don	Don Bergland	surrealism	
Bergsma	Jody	Jody Bergsma	watercolor, fantasy, detailed, whimsical	
Berkey	John	John Berkey	fantasy, space, sci-fi	
Bernard	Émile	Émile Bernard	impressionism, scene	
Bernhard	Ruth	Ruth Bernhard	monochromatic, photography, nudity	
Bernini	Gian Lorenzo	Gian Lorenzo Bernini	baroque, sculpture	
Bertoia	Harry	Harry Bertoia	sculpture, texture	
Beskow	Elsa	Elsa Beskow	whimsical, art nouveau, beatrix potter	
Beuckelaer	Joachim	Joachim Beuckelaer	scene, still life	
Beuys	Joseph	Joseph Beuys	abstract, figurativism, photography, monochromatic	
Bevacqua	Marta	Marta Bevacqua	photography, portrait, scene	
Bianchi	Simone	Simone Bianchi	comics	
Biasi	Alberto	Alberto Biasi	abstract, angular	
Bierstadt	Albert	Albert Bierstadt	landscape, romanticism	
Biggers	John T.	John T. Biggers	melanin, abstract, symbolism, vibrant	
Bilal	Enki	Enki Bilal	detailed, sci-fi, comics	
Bilibin	Ivan	Ivan Bilibin	art nouveau,	
Billingham	Richard	Richard Billingham	photography, scene	
Billout	Guy	Guy Billout	clean, surrealism	
Billy	Butcher	Butcher Billy	graphic design, pop art, vibrant	
Bing	Ilse	Ilse Bing	photography, monochromatic	
Bing	Xu	Xu Bing	installation	
Bingham	George Caleb	George Caleb Bingham	luminism, scene	
Binkley	Ed	Ed Binkley	fantasy,	
Birch	Simon	Simon Birch	figurativism, messy, portrait	
Birch	Thomas	Thomas Birch	romanticism, seascape, landscape	
Birrell	George	George Birrell	cityscape, vibrant	
Bisley	Simon	Simon Bisley	comics, dark, detailed	
