lastname	firstname	cp_name	tags	pseudonyms
Cho	Michael	Michael Cho	cartoon, comics	
Choe	David	David Choe	figurativism, street art, messy	
Christakis	George	George Christakis	photography, magic realism	
Christensen	James C.	James C. Christensen	detailed, whimsical, fantasy	
Church	Frederic Edwin	Frederic Edwin Church	landscape, luminism, impressionism	
Ciurlionis	Mikalojus Konstantinas	Mikalojus Konstantinas Ciurlionis	dark, symbolism, art nouveau	Mikalojus Konstantinas Čiurlionis
Claesz	Pieter	Pieter Claesz	baroque, still life, dark	
Clairin	Georges	Georges Clairin	romanticism, character	
Clampett	Bob	Bob Clampett	cartoon	
Claremont	Chris	Chris Claremont	comics, dark	
Clark	Alson Skinner	Alson Skinner Clark	landscape, impressionism	
Clark	Amanda	Amanda Clark	fantasy, landscape, character, watercolor	
Clark	Lygia	Lygia Clark	abstract, angular, expressionism	
Clarke	Harry	Harry Clarke	stained glass, high contrast	
Claudel	Camille	Camille Claudel	sculpture, figurativism	
Claus	Emile	Emile Claus	luminism, landscape, impressionism, scene	
Clausen	George	George Clausen	watercolor, landscape, scene	
Clemente	Francesco	Francesco Clemente	figurativism, portrait	
Clergue	Lucien	Lucien Clergue	photography, nudity	
Close	Chuck	Chuck Close	angular, portrait, abstract	
Cocteau	Jean	Jean Cocteau
Coffin	Clifford	Clifford Coffin
Colbert	Gregory	Gregory Colbert
Cole	Thomas	Thomas Cole	landscape, romanticism, luminism	
Coley	Nathan	Nathan Coley	installation, photography, light	
Collier	John	John Collier	romanticism, scene	
Collins	Ray	Ray Collins	landscape, seascape, photography	
Collishaw	Mat	Mat Collishaw	dark, high contrast,	
Colville	Alex	Alex Colville	magical realism, realism	
Condo	George	George Condo	cubism, surrealism, abstract	
Conklin	Beth	Beth Conklin	photography, surrealism, portrait	
Conrad	Tony	Tony Conrad	photography, abstract, installation	
Constable	John	John Constable	landscape, romanticism, dark	
Cooke	Darwyn	Darwyn Cooke	comics, cartoon, vibrant, clean	
Cooper	Colin Campbell	Colin Campbell Cooper	impressionism, architecture	
Corben	Richard	Richard Corben	sci-fi, horror, comics, realism	
Corcos	Vittorio Matteo	Vittorio Matteo Corcos	portrait, realism, scene	
Cordal	Isaac	Isaac Cordal	sculpture, photography	
Corfield	Paul	Paul Corfield	vibrant, landscape, cartoon	
Corinth	Lovis	Lovis Corinth	impressionism, expressionism	
Cormon	Fernand	Fernand Cormon	realism, scene	
Cornell	Joseph	Joseph Cornell	collage, photography	
Cornish	Norman	Norman Cornish	scene, portrait	
Cornwell	Dean	Dean Cornwell	realism, messy, scene, watercolor	
Corot	Camille	Camille Corot	romanticism, landscape, portrait	
Costras	Dorina	Dorina Costras	surrealism, figurativism, character	
Coulson	Peter	Peter Coulson	photography, monochromatic, portrait, nudity	
Courbet	Gustave	Gustave Courbet	realism, romanticism, portrait, scene	
Coverly	Dave	Dave Coverly
Cowper	Frank Cadogan	Frank Cadogan Cowper
Crain	Clayton	Clayton Crain	comics, digital	
Cranach the Elder	Lucas	Lucas Cranach the Elder	renaissance, portrait	
Cranach the Younger	Lucas	Lucas Cranach the Younger	renaissance, portrait	
Crane	Walter	Walter Crane	detailed, art nouveau,	
Craola Craola	surrealism, whimsical	Greg Simkins
Creed	Martin	Martin Creed	installation, abstract, expressionism	
Creese	Michael	Michael Creese	impressionism, expressionism	
Crepax	Guido	Guido Crepax	comics, high contrast, monochromatic	
Crewdson	Gregory	Gregory Crewdson	photography, surrealism, dark	
Criswell	Debbie	Debbie Criswell	vibrant, cartoon, landscape	
Crivelli	Carlo	Carlo Crivelli	renaissance, detailed	
Cross	Henri-Edmond	Henri-Edmond Cross	abstract, colorful, impressionism	
Crowe	Victoria	Victoria Crowe	landscape, portrait, figurativism	
Crowther	Jane	Jane Crowther
Cruikshank	George	George Cruikshank	cartoon, comics,	
Crumb	Robert	Robert Crumb	detailed, comics, character	
Cruz-Diez	Carlos	Carlos Cruz-Diez
Cucuel	Edward	Edward Cucuel
Cunningham	Chris	Chris Cunningham	horror, photography, dark	
Curran	Charles Courtney	Charles Courtney Curran
Currin	John	John Currin	figurativism, portrait, character	
Cushart	Krenz	Krenz Cushart	digital, anime, manga, character, portrait	
d'Errico	Camilla	Camilla d'Errico	surrealism, whimsical, portrait	
da Cortona	Pietro	Pietro da Cortona	baroque, detailed	
da Vinci	Leonardo	Leonardo da Vinci	renaissance, scene	
Dadd	Richard	Richard Dadd	dark, impressionist, detailed	
Daeni	Pino	Pino Daeni	romanticism, figurativism, portrait	
Dahl	Johan Christian	Johan Christian Dahl	landscape, romanticism	
Dahl-Wolfe	Louise	Louise Dahl-Wolfe	photography, scene, character	
Daines	Sherree Valentine	Sherree Valentine Daines	impressionism, scene	
Dalí	Salvador	Salvador Dalí	surrealism, dark	
Dalrymple	Farel	Farel Dalrymple	whimsical, detailed, watercolor	
Danziger	Jeff	Jeff Danziger
Darbishire	Stephen	Stephen Darbishire
Dargas	Mike	Mike Dargas
Darger	Henry	Henry Darger	primitivism, scene	
Darrow	Geof	Geof Darrow	comics, detailed	
Daubigny	Charles-Francois	Charles-Francois Daubigny	landscape, realism, impressionism	
Daumier	Honoré	Honoré Daumier	realism, impressionism	
Dauterman	Russell	Russell Dauterman	comics, character	
Davenport	Ian	Ian Davenport	abstract, colorful, vibrant	
David	Gerard	Gerard David	renaissance	
David	Jacques-Louis	Jacques-Louis David	romanticism, scene	
Davidson	Bruce	Bruce Davidson	photography,	
Davis	Jack	Jack Davis	cartoon, detailed	
Davis	Jim	Jim Davis	cartoon,	
Davis	Marc	Marc Davis	cartoon, storybook realism	
Davis	Stuart	Stuart Davis	cubism, abstract	
Davison	Craig	Craig Davison	character, scene, cartoon	
Dawe	Gabriel	Gabriel Dawe	installation, light, colorful	
Day	Walter Percy	Walter Percy Day	landscape, scene	
Dayer	Diego	Diego Dayer	realism, figurativism, portrait	
de Boulogne	Valentin	Valentin de Boulogne	baroque, scene	
de Champaigne	Philippe	Philippe de Champaigne	baroque, scene	
de Chirico	Giorgio	Giorgio de Chirico	surrealism	
de Dienes	Andre	Andre de Dienes	monochromatic, photography, fashion	
de Heem	Jan Davidsz	Jan Davidsz de Heem	baroque, still life, flowers	
de Hooch	Pieter	Pieter de Hooch	scene, realism, baroque	
De Keyser	Raoul	Raoul De Keyser	abstract	
de Kooning	Elaine	Elaine de Kooning	expressionism, abstract, messy	
de Kooning	Willem	Willem de Kooning	expressionism, abstract, messy	
de La Fresnaye	Roger	Roger de La Fresnaye	cubism, expressionism	
de La Tour	Georges	Georges de La Tour	baroque, dark	
de Lempicka	Tamara	Tamara de Lempicka	cubism, art deco, portrait	
de Madrazo y Garreta	Raimundo	Raimundo de Madrazo y Garreta	realism, portrait	
De Morgan	Evelyn	Evelyn De Morgan	detailed, romanticism, symbolism	
de Nittis	Giuseppe	Giuseppe de Nittis	impressionism, scene, landscape	
de Ribera	Jusepe	Jusepe de Ribera	baroque, dark, portrait	
de Stael	Nicolas	Nicolas de Stael	abstract, landscape	
de Toulouse-Lautrec	Henri	Henri de Toulouse-Lautrec	impressionism, art nouveau, realism	
de Vlaminck	Maurice	Maurice de Vlaminck	fauvism, landscape	
de Zurbaran	Francisco	Francisco de Zurbaran	baroque, Caravaggisti	
Deacon	Richard	Richard Deacon	sculpture, abstract	
Deakins	Roger	Roger Deakins	photography, vibrant, digital	
Dean	Roger	Roger Dean	landscape, fantasy, sci-fi	
DeCarava	Roy	Roy DeCarava	photography, melanin, monochromatic	
Deconnick	Kelly Sue	Kelly Sue Deconnick	comics, character, scene	
DeFeo	Jay	Jay DeFeo	abstract, expressionism	
Deforge	Michael	Michael Deforge	vibrant, cartoon, pop art	
Degas	Edgar	Edgar Degas	impressionism, realism, scene	
Deharme	Lise	Lise Deharme	fantasy	
del Piombo	Sebastiano	Sebastiano del Piombo	renaissance, portrait	
Delacroix	Eugene	Eugene Delacroix	romanticism, scene	
Delaney	Beauford	Beauford Delaney	impressionism, abstract, colorful	
Delaney	Janet	Janet Delaney	photography, streetscape, scene	
Delaunay	Robert	Robert Delaunay	abstract, cubism, vibrant	
Delaunay	Sonia	Sonia Delaunay	cubism, fauvism, abstract	
Dell'otto	Gabriele	Gabriele Dell'otto	comics, fantasy	
della Francesca	Piero	Piero della Francesca	renaissance	
della Robbia	Luca	Luca della Robbia	sculpture, renaissance	
Delort	Nicolas	Nicolas Delort	monochromatic, detailed, fantasy	
Delvaux	Paul	Paul Delvaux	surrealism, scene	
Delville	Jean	Jean Delville	fantasy, symbolism	
Delvoye	Wim	Wim Delvoye	sculpture, detailed, installation	
Demarchelier	Patrick	Patrick Demarchelier
Demetz	Aron	Aron Demetz	sculpture, dark, character	
Demizu	Posuka	Posuka Demizu	anime, manga, fantasy	
Demsteader	Mark	Mark Demsteader
Demuth	Charles	Charles Demuth
Denis	Maurice	Maurice Denis
Denning	Guy	Guy Denning	portrait, messy, dark	
Deodato	Mike	Mike Deodato	comics, high contrast	
Derain	Andre	Andre Derain	fauvism, impressionism, expressionism	
Deschambault	Martin	Martin Deschambault	digital, landscape, sci-fi	
Desiderio	Vincent	Vincent Desiderio	realism	
Despain	Brian	Brian Despain	surrealism	
Detmold	Charles Maurice	Charles Maurice Detmold	fantasy, watercolor, art nouveau	
Detmold	Edward Julius	Edward Julius Detmold	fantasy, watercolor, art nouveau	
Dewailly	Anne	Anne Dewailly	figurativism, portrait, character, photorealism	
Dewing	Thomas	Thomas Dewing
di Cosimo	Piero	Piero di Cosimo
Di Fate	Vincent	Vincent Di Fate	sci-fi, fantasy, space	
diCorcia	Philip-Lorca	Philip-Lorca diCorcia
DiDonato	Brooke	Brooke DiDonato
Diebenkorn	Richard	Richard Diebenkorn	abstract, expressionism	
Dieckmann	Sandra	Sandra Dieckmann
Digalakis	George	George Digalakis
Dillon	Steve	Steve Dillon	comics, scene, character	
Dine	Jim	Jim Dine
Disher	Mandy	Mandy Disher	photography, flowers	
Disney	Walt	Walt Disney	cartoon, whimsical, storybook realism,	
DiTerlizzi	Tony	Tony DiTerlizzi	fantasy, whimsical	
Ditko	Steve	Steve Ditko	comics, character,	
Ditlev	Jan	Jan Ditlev
Dittmann	Anna	Anna Dittmann	portrait, fantasy, digital	
Dix	Otto	Otto Dix	expressionism,	
Dixon	Maynard	Maynard Dixon
Dmitriev	Dima	Dima Dmitriev	impressionism, landscape, vibrant	
do Amaral	Tarsila	Tarsila do Amaral	surrealism, vibrant, cubism	
Dodd	Thomas	Thomas Dodd	dark, magic realism, portrait	
Dodson	Terry	Terry Dodson
Doig	Peter	Peter Doig	figurativism, landscape, abstract	
Dolci	Carlo	Carlo Dolci
Domenichino Domenichino
Domergue	Jean-Gabriel	Jean-Gabriel Domergue
Donley	Ray	Ray Donley	baroque, portrait, dark	
Donoghue	Adrian	Adrian Donoghue	cityscape, streetscape, architecture	
Donwood	Stanley	Stanley Donwood	high contrast, monochromatic, dark	
Doré	Gustave	Gustave Doré	dark, detailed, romanticism	
Dorman	Dave	Dave Dorman	sci-fi, horror, fantasy, photorealism	
Dougherty	Patrick	Patrick Dougherty	sculpture, nature, installation	
Douglas	Aaron	Aaron Douglas	melanin, cubism, graphic design	
Dove	Arthur	Arthur Dove	abstract, high contrast, fauvism	
Downton	David	David Downton	expressionism portrait, high contrast	
Doyle	Richard	Richard Doyle	detailed, scene	
Doyle	Tim	Tim Doyle	comics, detailed,	
Drepina	Natalia	Natalia Drepina	photography, portrait, dark	
Driskell	David	David Driskell	melanin, abstract, colorful	
Druillet	Philippe	Philippe Druillet	comics, detailed, dark	
Drysdale	TJ	TJ Drysdale	photography, fantasy, landscape	
Dubois-Pillet	Albert	Albert Dubois-Pillet	impressionism, pointillism	
Dubuffet	Jean	Jean Dubuffet	high contrast, abstract, expressionism,	
Duccio Duccio	renaissance	
Duchamp	Marcel	Marcel Duchamp	surrealism, cubism, fauvism, expressionism, impressionism	
Duchamp-Villon	Raymond	Raymond Duchamp-Villon	sculpture, cubism	
Ducreux	Joseph	Joseph Ducreux	character, portrait	
Dufy	Raoul	Raoul Dufy	fauvism,	
Dulac	Edmund	Edmund Dulac	whimsical, art nouveau	
Dumas	Marlene	Marlene Dumas	watercolor, portrait	
Dunbar	Evelyn	Evelyn Dunbar	scene, landscape	
Duncan	John	John Duncan	symbolism, romanticism	
Duncanson	Robert S.	Robert S. Duncanson	landscape, romanticism, realism	
Dupain	Max	Max Dupain	photography, high contrast	
Durand	Asher Brown	Asher Brown Durand	landscape, luminism, romanticism	
Dürer	Albrecht	Albrecht Dürer	renaissance, detailed, scene	
Durgin	Bill	Bill Durgin	sculpture, nudity	
Dwyer	Charles	Charles Dwyer	watercolor, messy, portrait	
Dyce	William	William Dyce	portrait, romanticism, scene	
Dyer	Chris	Chris Dyer	psychedelic, vibrant, colorful, detailed	
Eakins	Thomas	Thomas Eakins	realism, impressionism, scene	
Eames	Ray	Ray Eames	bauhaus, graphic design, architecture	
Eardley	Joan	Joan Eardley	expressionism, messy	
Earle	Eyvind	Eyvind Earle	magical realism, storybook realism, fantasy, high contrast	
Earles	Amy	Amy Earles	watercolor, character, whimsical, dark	
Earley	Lori	Lori Earley	portrait, figurativism, surrealism	
Easley	Jeff	Jeff Easley	fantasy,	
Eastman	Michael	Michael Eastman	scene, photography, architecture	
Easton	Timothy	Timothy Easton	landscape, impressionism	
Echelman	Janet	Janet Echelman	installation, light, architecture, sculpture	
Edelfelt	Albert	Albert Edelfelt	realism, impressionism	
Edgerton	Harold	Harold Edgerton	photography, monochromatic	
Edlin	Tyler	Tyler Edlin	fantasy, digital, landscape, scene	
Edmiston	Jason	Jason Edmiston	fantasy, horror, character, portrait	
Edwards	Les	Les Edwards	sci-fi, horror, fantasy	
Eek	Piet Hein	Piet Hein Eek	angular, messy, sculpture, installation	
Eggleston	William	William Eggleston	streetscape, pop art, photography	
Eggleton	Bob	Bob Eggleton	sci-fi, fantasy, horror	
Eisenman	Nicole	Nicole Eisenman	figurativism, scene	
Eisenman	Peter	Peter Eisenman	architecture, angular	
Eisenstaedt	Alfred	Alfred Eisenstaedt	photography, monochromatic, portrait	
Eisner	Will	Will Eisner	comics, cartoon	
Ejsing	Jesper	Jesper Ejsing	fantasy	
El Greco El Greco	renaissance	
Elgort	Arthur	Arthur Elgort	photography, character, scene, monochromatic	
Eliasson	Olafur	Olafur Eliasson	installation, light	
Ellger	Christine	Christine Ellger	fantasy, magical realism	
Ellis	Dean	Dean Ellis	sci-fi, vibrant	
Ellis	Warren	Warren Ellis	comics, scene, character	
Elmore	Larry	Larry Elmore	fantasy, scene	
Elorza	Joseba	Joseba Elorza	photography, surrealism, collage, sci-fi	
Elsheimer	Adam	Adam Elsheimer	baroque, renaissance, romanticism	
Elson	Peter	Peter Elson	sci-fi, space	
Elvgren	Gil	Gil Elvgren	portrait, character, scene, art nouveau	
Emin	Tracey	Tracey Emin	messy, abstract	
Emshwiller	Ed	Ed Emshwiller	sci-fi, scene	
Enckell	Magnus	Magnus Enckell	impressionism, symbolism	
Endel	Ingrid	Ingrid Endel
Endresen	Daria	Daria Endresen	photography, high contrast, surrealism	
Eng	Kilian	Kilian Eng	digital, landscape, detailed, sci-fi, fantasy	
Engle	Jason A.	Jason A. Engle	fantasy, sci-fi, dark	
Enjolras	Delphin	Delphin Enjolras	scene, watercolor, romanticism	
Enrich	Victor	Victor Enrich	photography, architecture, surrealism	
Ensor	James	James Ensor	expressionism, symbolism	
Epting	Steve	Steve Epting	comics, high contrast	
Erlich	Leandro	Leandro Erlich	photography, architecture, surrealism	
Ernst	Max	Max Ernst	surrealism, expressionism	
Ernst	Rudolf	Rudolf Ernst	romanticism, scene	
Errazuriz	Sebastian	Sebastian Errazuriz	high contrast, angular, installation, sculpture	
Erwitt	Elliott	Elliott Erwitt	photography, monochromatic	
Escher	M.C.	M.C. Escher	angular, high contrast, surrealism	
Espedal	Truls	Truls Espedal	photorealism, surrealism	
Etchells	Tim	Tim Etchells	installation, light	
Etty	William	William Etty	nudity, romanticism, scene	
Eurich	Richard	Richard Eurich	landscape, seascape, romanticism	
Evans	Cerith Wyn	Cerith Wyn Evans	sculpture, installation, light	
Evans	Walker	Walker Evans	photography, monochromatic, realism	
Everhart	Tom	Tom Everhart
Eversen	Adrianus	Adrianus Eversen	cityscape, romanticism	
Fabry	Glenn	Glenn Fabry	fantasy, sci-fi, comics	
Fadeev	Anton	Anton Fadeev	landscape, digital	
Fairey	Shepard	Shepard Fairey	high contrast, graphic design	
Fairhurst	Andy	Andy Fairhurst	sci-fi, fantasy, horror, digital	
Falero	Luis Ricardo	Luis Ricardo Falero	figurativism, fantasy, nudity	
Falter	John Philip	John Philip Falter	clean, scene, realism	
Fantin-Latour	Henri	Henri Fantin-Latour	flowers, realism, symbolism	
Farquharson	Joseph	Joseph Farquharson	landscape	
Faulkner	Iain	Iain Faulkner	monochromatic, scene, figurativism	
Faurer	Louis	Louis Faurer	photography, moonochromatic	
Faust	Lauren	Lauren Faust	cartoon, anime, character	
Fedden	Mary	Mary Fedden	still life, flowers, primitivism	
Fehn	Sverre	Sverre Fehn	architecture	
Feininger	Lyonel	Lyonel Feininger	expressionism, angular, cubism	
Feitelson	Lorser	Lorser Feitelson	surrealism, abstract, angular, flat colors	
Feldstein	Al	Al Feldstein	comics, detailed, scene	
Fenton	Joe	Joe Fenton	dark, whimsical, surrealism, detailed, monochromatic, high contrast	
Ferez	Andrew	Andrew Ferez	surrealism, fantasy, detailed	
Ferri	Roberto	Roberto Ferri	baroque, romanticism, nudity	
Ferris	Emil	Emil Ferris	cartoon, horror	
Ferriss	Hugh	Hugh Ferriss	cityscape, architecture, art deco	
Fildes	Luke	Luke Fildes	realism, scene	
Finch	David	David Finch	detailed, comics, fantasy	
Fini	Leonor	Leonor Fini	surrealism	
Fink	Callie	Callie Fink	psychedelic, vibrant, colorful, portrait	
Fink	Larry	Larry Fink	photography, monochromatic	
Finlay	Virgil	Virgil Finlay	comics, sci-fi, fantasy, horror, dark, high contrast	
Finnstark	Anato	Anato Finnstark	digital, fantasy, scene	
Finster	Howard	Howard Finster	primitivism, portrait	
Fischer	Anton Otto	Anton Otto Fischer	character, scene	
Fischer	Paul Gustav	Paul Gustav Fischer	character, landscape, scene	
Fischinger	Oskar	Oskar Fischinger	abstract, vibrant, colorful	
Fischl	Eric	Eric Fischl	realism, expressionism, scene	
Fisher	Samuel Melton	Samuel Melton Fisher	impressionism, portrait, flowers, scene	
Fitzgerald	John Anster	John Anster Fitzgerald	detailed, fantasy, whimsical, scene	
Fitzpatrick	Tony	Tony Fitzpatrick	collage, vibrant, detailed	
Flandrin	Hippolyte	Hippolyte Flandrin	renaissance, romanticism, baroque, portrait	
Flavin	Dan	Dan Flavin	installation, light	
Fleischer	Max	Max Fleischer	cartoon	
Flinck	Govaert	Govaert Flinck	baroque, portrait,	
Flint	Alex Russell	Alex Russell Flint	portrait, scene, realism, figurativism	
Flint	William Russell	William Russell Flint	watercolor, scene, nudity	
Flore	Maia	Maia Flore	photography, whimsical, scene	
Floris	Frans	Frans Floris	renaissance	
Foglio	Kaja	Kaja Foglio	whimsical, cartoon	
Foglio	Phil	Phil Foglio	whimsical, cartoon	
Fonssagrives	Fernand	Fernand Fonssagrives	photography, monochromatic, high contrast	
Fontana	Franco	Franco Fontana	abstract, landscape, vibrant	
Fontana	Lavinia	Lavinia Fontana	renaissance, portrait	
Fontana	Lucio	Lucio Fontana	abstract, sculpture, vibrant	
Forain	Jean-Louis	Jean-Louis Forain	impressionism, expressionism, scene	
Forbes	Stanhope	Stanhope Forbes	landscape, scene, impressionism	
Ford	Henry Justice	Henry Justice Ford	art nouveau, romanticism, detailed	
Fortescue-Brickdale	Eleanor	Eleanor Fortescue-Brickdale	romanticism, scene, character	
Foss	Chris	Chris Foss	vibrant, sci-fi, space	
Foster	Hal	Hal Foster	comics, clean, detailed, scene	
Foster	Jon	Jon Foster	digital, portrait, scene	
Foster	Myles Birket	Myles Birket Foster	watercolor, landscape, scene, romanticism	
Foster	Norman	Norman Foster	architecture,	
Fouquet	Jean	Jean Fouquet	renaissance, scene	
Fox	Toby	Toby Fox	digital, cartoon	
Fraction	Matt	Matt Fraction	comics, character, scene	
Fragonard	Alexandre-Évariste	Alexandre-Évariste Fragonard	baroque, romanticism, scene	
Fragonard	Jean-Honoré	Jean-Honoré Fragonard	baroque, impressionism, scene	
Frahm	Art	Art Frahm	portrait, character	
Francis	Sam	Sam Francis	abstract, expressionism	
Francken the Younger	Frans	Frans Francken the Younger	baroque, scene	
Frank	Lisa	Lisa Frank	whimsical, vibrant, colorful	
Franke	Andreas	Andreas Franke	photography, scene, surrealism	
Frankenthaler	Helen	Helen Frankenthaler	abstract, expressionism, watercolor	
Frazetta	Frank	Frank Frazetta	fantasy, dark, scene	
Freas	Kelly	Kelly Freas	sci-fi, fantasy, 	Frank Kelly Freas
Freeman	Ed	Ed Freeman	photography, nudity, figurativism, architecture	
Freud	Lucian	Lucian Freud	portrait, expressionism, realism	
Friedrich	Caspar David	Caspar David Friedrich	landscape, dark, romanticism	
Friel	Chris	Chris Friel	dark, photography, landscape	
Frieseke	Frederick Carl	Frederick Carl Frieseke	impressionism, scene	
Frissell	Toni	Toni Frissell	photography, monochromatic	
Frith	William Powell	William Powell Frith	romanticism, scene	
Froud	Brian	Brian Froud	fantasy, dark, whimsical	
Froud	Wendy	Wendy Froud	fantasy, dark, whimsical	
Fruin	Tom	Tom Fruin	sculpture, stained glass, architecture, installation, light, vibrant	
Fuchs	Ando	Ando Fuchs	photography, monochromatic, high contrast	
Fuchs	Ernst	Ernst Fuchs	textured, detailed, surrealism	
Fujimoto	Sou	Sou Fujimoto	architecture, angular, cubism	
Fujita	Goro	Goro Fujita	whimsical, 3D, cartoon	
Fuke	Ryohei	Ryohei Fuke	character, dark, anime	
Fuller	Buckminster	Buckminster Fuller	architecture	
Fusco	Paul	Paul Fusco	photography	
Fuseli	Henry	Henry Fuseli	romanticism, scene, high contrast, monochromatic	
Gacy	John Wayne	John Wayne Gacy	vibrant, portrait	
Gadd	Elizabeth	Elizabeth Gadd	photography, landscape, scene	
Gaertner	Eduard	Eduard Gaertner	cityscape	
Gagnon	Clarence	Clarence Gagnon
Gaiman	Neil	Neil Gaiman	comics, portrait, high contrast	
Gainsborough	Thomas	Thomas Gainsborough	romanticism, renaissance, landscape, scene	
Galien-Laloue	Eugene	Eugene Galien-Laloue
Gallé	Émile	Émile Gallé	art nouveau	
Gammell	Stephen	Stephen Gammell	dark, children's illustration, high contrast, horror	
Gangloff	Hope	Hope Gangloff	high contrast, vibrant, portrait	
Garant	Alex	Alex Garant	portrait, figurativism, surrealism	
Garber	Daniel	Daniel Garber	impressionism, landscape, realism	
Garcin	Gilbert	Gilbert Garcin	photography, monochromatic, surrealism	
Garmash	Inessa	Inessa Garmash	portrait, impressionism, romanticism	
Garmash	Michael	Michael Garmash	impressionism, scene, portrait	
Gaudí	Antoni	Antoni Gaudí	architecture, angular	
Gaughan	Jack	Jack Gaughan	sci-fi, vibrant	
Gauguin	Paul	Paul Gauguin	impressionism, primitivism, symbolism	
Gaulli	Giovanni Battista	Giovanni Battista Gaulli	baroque, portrait	
Ge	Nikolai	Nikolai Ge	symbolism, romanticism, scene	
Geary	Emma	Emma Geary	portrait, cartoon	
Geddes	Anne	Anne Geddes	photography, nudity, portrait	
Geddes	Jeremy	Jeremy Geddes	photography, surrealism, dark	
Gehry	Frank	Frank Gehry	architecture, cubism	
Gekas	Bill	Bill Gekas	photography, portrait, surrealism	
Gentileschi	Artemisia	Artemisia Gentileschi	baroque, renaissance, scene, portrait	
Gentileschi	Orazio	Orazio Gentileschi	baroque, scene, portrait	
Gerard	Justin	Justin Gerard	fantasy, whimsical, detailed	
Gerhartz	Daniel F.	Daniel F. Gerhartz	impressionism, portrait	
Géricault	Théodore	Théodore Géricault	romanticism, dark, scene, portrait	
Gérôme	Jean-Léon	Jean-Léon Gérôme	romanticism, scene,	
Gerstner	Karl	Karl Gerstner	graphic design, vibrant, abstract, colorful	
Gertler	Mark	Mark Gertler	figurativism, portrait, still life	
Gesell	Stefan	Stefan Gesell	photography, dark, character, surrealism	
Ghailan	Atey	Atey Ghailan	digital, anime, scene	
Ghenie	Adrian	Adrian Ghenie	messy, abstract, expressionism, baroque	
Giacometti	Alberto	Alberto Giacometti	sculpture, expressionism,	
Giancola	Donato	Donato Giancola	fantasy, sci-fi, detailed	
Gibbons	Dave	Dave Gibbons	comics	
Gifford	Sanford Robinson	Sanford Robinson Gifford	landscape, luminism	
Giger	H. R. (Hans Ruedi)	H. R. (Hans Ruedi) Giger	sci-fi, dark, monochromatic	Giger
Gilleard	James	James Gilleard	digital, architecture, vibrant, landscape	
Gillen	Kieron	Kieron Gillen	comics	
Gillett	Leticia	Leticia Gillett	digital, character, 3D	
Gilliam	Sam	Sam Gilliam	abstract, installation, textile	
Gillick	Liam	Liam Gillick	abstract, installation	
Gillmor	Robert	Robert Gillmor	animals	
Gillray	James	James Gillray	cartoon, scene	
Gilman	Harold	Harold Gilman	portrait, landscape, impressionism	
Ginner	Charles	Charles Ginner	vibrant, landscape, cityscape, scene	
Giordano	Luca	Luca Giordano	baroque	
Giorgione Giorgione	renaissance	
Giotto Giotto	renaissance	
Girard	Greg	Greg Girard	photography, streetscape, high contrast	
Girardet	Eugène	Eugène Girardet	romanticism	
Giraud	Eugène	Eugène Giraud	realism, scene	
Giraud	Jean	Jean Giraud	comics, psychedelic, surrealism, fantasy, sci-fi	Moebius, Mœbius
Girodet	Anne-Louis	Anne-Louis Girodet	romanticism, portrait	
Glackens	William James	William James Glackens	impressionism, scene	
Glaser	Milton	Milton Glaser	graphic design, vibrant, colorful	
Gleizes	Albert	Albert Gleizes	cubism, angular	
Glendening	Alfred Augustus	Alfred Augustus Glendening	landscape, scene	
Glendinning	Lucy	Lucy Glendinning	sculpture	
Glinn	Burt	Burt Glinn	photography, scene, monochromatic	
Globepainter	Seth	Seth Globepainter	street art, cartoon	
Gluck	Gerhard	Gerhard Gluck	scene	
Gluckmann	Grigory	Grigory Gluckmann	impressionism, figurativism	
Goble	Warwick	Warwick Goble	whimsical, art nouveau, children's illustration	
Godward	John William	John William Godward	romanticism, portrait, character, scene	
Godwin	Fay	Fay Godwin	landscape, photography, monochromatic	
Gogos	Basil	Basil Gogos	portrait, dark	
Golan	Emek	Emek Golan	detailed, surrealism, psychedelic	
Goldberger	Sacha	Sacha Goldberger	photography, portrait, character	
Goldblatt	David	David Goldblatt	photography, monochromatic, scene, melanin	
Goldin	Nan	Nan Goldin	photography, portrait, scene	
Goldsworthy	Andy	Andy Goldsworthy	photography, installation, nature	
Goltzius	Hendrick	Hendrick Goltzius	baroque, high contrast, scene	
Goncharova	Natalia	Natalia Goncharova	abstract, cubism, primitivism	
Gonsalves	Rob	Rob Gonsalves	magic realism, surrealism, cloudscape	
Gonzalez	Josan	Josan Gonzalez	sci-fi, clean, detailed,	Death Burger
Gonzalez-Torres	Felix	Felix Gonzalez-Torres	installation	
Goodall	Frederick	Frederick Goodall	romanticism, scene	
Goodwin	Albert	Albert Goodwin	landscape, watercolor, romanticism	
Goossens	Ben	Ben Goossens	surrealism, photography	
Gordiets	Evgeni	Evgeni Gordiets	surrealism, landscape, scene	
Gordin	Misha	Misha Gordin	surrealism, photography, monochromatic, dark	
Gores	Derek	Derek Gores	collage, colorful, portrait	
Gorey	Edward	Edward Gorey	high contrast, monochromatic, dark, children's illustration	
Gorky	Arshile	Arshile Gorky	abstract, expressionism	
Gormley	Antony	Antony Gormley	sculpture	
Gorny	Hein	Hein Gorny	photography, high contrast, monochromatic	
Gottardo	Alessandro	Alessandro Gottardo	clean, scene, flat colors, high contrast	
Gottlieb	Adolph	Adolph Gottlieb	abstract, vibrant	
